phbarc,phprsu,phcolp,phcocp,phlebi,phlesu,phadul,phfpre,phcocs,tititu,tiauto
291694,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,02/01/25,T    ,Música y jardines /,
101026873,BMM   ,USU  ,OA   ,BMM   ,BMM   ,0,02/01/25,V    ,Jacques Loussier Trio play Bach... and more [,
284719,BMM   ,USU  ,OA   ,BMM   ,BMM   ,0,02/01/25,V    ,The blues [: 7 películas , 7 directores /,
292682,BMM   ,USU  ,OA   ,BMM   ,BMM   ,1,02/01/25,V    ,Michael Petrucciani /,
1300014721,BMM   ,USU  ,OA   ,BMM   ,BMM   ,1,02/01/25,V    ,Count Basie : live in´62 [,Basie, Count (1904-1984)
1800345406,BTM   ,AYU  ,MT   ,BTM   ,BTM   ,1,02/01/25,T    ,Diplomado/a trabajos sociales del Ayuntamiento de Madrid. Te,
1800345462,BTM   ,AYU  ,MT   ,BTM   ,BTM   ,1,02/01/25,T    ,Temario común : Grupo C, subgrupo C1,
100328387,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,03/01/25,Q    ,De la sonorité : art et technique /,Moyse, Marcel (1889-1984)
200002769,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,03/01/25,T    ,Flute /,Galway, James.
1400121243,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,03/01/25,T    ,Guía práctica para cantar /,Villagar, Isabel.
30267,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,03/01/25,T    ,Técnica Alexander para músicos : la zona de confort : salud,García, Rafael.
32353,BMM   ,USU  ,OA   ,BMM   ,BMM   ,1,03/01/25,S    ,A Streetcar Named Desire : Music from the original sound tra,North, Alex.
292670,BMM   ,USU  ,OA   ,BMM   ,BMM   ,0,02/01/25,V    ,Jazz [: la historia /,
100782573,BMM   ,USU  ,OA   ,BMM   ,BMM   ,1,02/01/25,S    ,As falls Wichita, so falls Wichita falls /,Metheny, Pat (1954-)
100058659,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,03/01/25,Q    ,Méthode rose /,Velde, Ernest van de.
26278,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,03/01/25,T    ,El tren de la música: recorriendo el deep south / ,	Torres Villaseca, Teresa (1966-)
26278,BMM   ,,MA   ,,,,03/01/25,T    ,El tren de la música: recorriendo el deep south / ,	Torres Villaseca, Teresa (1966-)
101029508,BMM   ,USU  ,MA   ,BMM   ,BMM   ,1,07/01/25,Q    ,Acústica físico - musical /,Calvo-Manzano Ruiz, Antonio.
